Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
EDACGSTORE,CSDGM,02009-metadata.xml,Unknown,"http://www.fgdc.gov/metadata/fgdc-std-001-1998.xsd",/metadata/@xsi:noNamespaceSchemaLocation,Undefined
EDACGSTORE,CSDGM,02009-metadata.xml,Resource Citation,"John Wilson 20140116 NMT Valles Caldera Groundwater Data, Site Downstream (Sep 11, 2010 - Nov 19, 2011) vector digital data http://nmepscor.org/dataportal https://gstore.unm.edu/dataone/v1/object/21f54dd9-b469-4e47-a5ea-30042139c7de",/metadata/idinfo/citation/citeinfo,"/csdgm:metadata/csdgm:idinfo/csdgm:citation/csdgm:citeinfo"
EDACGSTORE,CSDGM,02009-metadata.xml,Abstract,"With growing concerns about declining snowpack, warmer temperatures, and land use changes, it is becoming increasingly important to determine the sources that contribute to surface water. In western states, such as New Mexico, most of the surface water is derived from mountainous watersheds. However, the interaction between the groundwater and the surface water within these mountain systems is poorly understood.",/metadata/idinfo/descript/abstract,"/csdgm:metadata/csdgm:idinfo/csdgm:descript/csdgm:abstract"
EDACGSTORE,CSDGM,02009-metadata.xml,Purpose,"Water well data collection information.",/metadata/idinfo/descript/purpose,"/csdgm:metadata/csdgm:idinfo/csdgm:descript/csdgm:purpose"
EDACGSTORE,CSDGM,02009-metadata.xml,Unknown,"Funding Source is NM EPSCOR. Principal Investigator is John Wilson at New Mexico Tech. The main researcher for this project is Jesus Gomez at New Mexico Tech. This file is made available through New Mexico's Experimental Program to Stimulate Competitive Research (NM EPSCoR) data portal. The portal provides access to data generated by and of use to the EPSCoR community including researchers, educators, and policy leaders, as well as the general public.",/metadata/idinfo/descript/supplinf,Undefined
EDACGSTORE,CSDGM,02009-metadata.xml,Temporal Extent,"20100911 000000 20111119",/metadata/idinfo/timeperd/timeinfo/rngdates,"/csdgm:metadata/csdgm:idinfo/csdgm:timeperd/csdgm:timeinfo/csdgm:rngdates"
EDACGSTORE,CSDGM,02009-metadata.xml,Unknown,"Ground condition",/metadata/idinfo/timeperd/current,Undefined
EDACGSTORE,CSDGM,02009-metadata.xml,Resource Status,"Complete As needed",/metadata/idinfo/status,"/csdgm:metadata/csdgm:idinfo/csdgm:status"
EDACGSTORE,CSDGM,02009-metadata.xml,Bounding Box,"-106.501385 -106.501385 35.840889 35.840889",/metadata/idinfo/spdom/bounding,"/csdgm:metadata/csdgm:idinfo/csdgm:spdom/csdgm:bounding"
EDACGSTORE,CSDGM,02009-metadata.xml,Spatial Extent,"-106.501385 -106.501385 35.840889 35.840889",/metadata/idinfo/spdom/bounding,"/csdgm:metadata/csdgm:idinfo/csdgm:spdom/csdgm:bounding"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword Vocabulary,"ISO 19115 Topic Categories",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword Type,"ISO 19115 Topic Categories",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
EDACGSTORE,CSDGM,02009-metadata.xml,Theme Keyword,"inlandWaters",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword,"inlandWaters",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword Vocabulary,"John Wilson",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword Type,"John Wilson",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
EDACGSTORE,CSDGM,02009-metadata.xml,Theme Keyword,"EPSCoR Track 1 R3",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword,"EPSCoR Track 1 R3",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Theme Keyword,"Snow-dominated Mountain Watersheds",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword,"Snow-dominated Mountain Watersheds",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Theme Keyword,"Groundwater Wells",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword,"Groundwater Wells",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Theme Keyword,"Groundwater",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword,"Groundwater",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Place Keyword Vocabulary,"Spatial Reference System Identifiers",/metadata/idinfo/keywords/place/placekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:place/csdgm:placekt"
EDACGSTORE,CSDGM,02009-metadata.xml,Place Keyword,"EPSG:4326",/metadata/idinfo/keywords/place/placekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:place/csdgm:placekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword,"EPSG:4326",/metadata/idinfo/keywords/place/placekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:place/csdgm:placekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Place Keyword,"EPSG:4326",/metadata/idinfo/keywords/place/placekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:place/csdgm:placekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword,"EPSG:4326",/metadata/idinfo/keywords/place/placekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:place/csdgm:placekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Place Keyword Vocabulary,"GNIS",/metadata/idinfo/keywords/place/placekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:place/csdgm:placekt"
EDACGSTORE,CSDGM,02009-metadata.xml,Place Keyword,"Valles Caldera",/metadata/idinfo/keywords/place/placekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:place/csdgm:placekey"
EDACGSTORE,CSDGM,02009-metadata.xml,Keyword,"Valles Caldera",/metadata/idinfo/keywords/place/placekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:place/csdgm:placekey"
