Record,Concept,XPath,Content
12_iso.xml,Resource Title,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:title/gco:CharacterString,"Bathymetry compilation for Arthur Harbor near Palmer Station, Antarctica"
12_iso.xml,Resource Creation/Revision Date,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date/gmd:CI_Date/gmd:date/gco:Date,"2006-07-20"
12_iso.xml,Abstract,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract/gco:CharacterString,"This data set was acquired with a Furuno FL6600 Echosounder Sonar, Furuno FCV582L Echosounder Sonar, Garmin 12 Navigation system, and Marine Sonic Technology, Ltd. Sidescan Sonar assembled as part of the 2005 Palmer_Gallager data compilation (Chief Scientist: Dr. Scott Gallagher; Investigator(s): Dr. Scott Gallagher and Dr. Vernon Asper). These data files are of Text File (ASCII) format and include gridded Bathymetry data and were processed after data collection. Data were acquired as part of the project(s): PRIMO."
12_iso.xml,Topic Category,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,"oceans"
12_iso.xml,Keyword Vocabulary,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:thesaurusName/gmd:CI_Citation,"MGDS Device vocabulary http://www.marine-geo.org/services/VocabServer?id=device_make_model_map&fmt=xml http://www.marine-geo.org/services/VocabServer?id=data_type&fmt=xml"
12_iso.xml,Metadata Contact,/gmi:MI_Metadata/gmd:contact,"MGDS Data Manager Interdisciplinary Earth Data Alliance (IEDA):Marine Geoscience Data System (MGDS) info@marine-geo.org pointOfContact"
12_iso.xml,Resource Contact,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact,"MGDS Data Manager Interdisciplinary Earth Data Alliance (IEDA):Marine Geoscience Data System (MGDS) info@marine-geo.org pointOfContact"
12_iso.xml,Resource Contact,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact,"Gallagher, Scott Woods Hole Oceanographic Institution (WHOI) principleInvestigator"
12_iso.xml,Role,/gmi:MI_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,"pointOfContact"
12_iso.xml,Role,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,"pointOfContact"
