Record,Concept,XPath,Content
02009-metadata.xml,Resource Title,/metadata/idinfo/citation/citeinfo/title,"NMT Valles Caldera Groundwater Data, Site Downstream (Sep 11, 2010 - Nov 19, 2011)"
02009-metadata.xml,Resource Creation/Revision Date,/metadata/idinfo/citation/citeinfo/pubdate,"20140116"
02009-metadata.xml,Abstract,/metadata/idinfo/descript/abstract,"With growing concerns about declining snowpack, warmer temperatures, and land use changes, it is becoming increasingly important to determine the sources that contribute to surface water. In western states, such as New Mexico, most of the surface water is derived from mountainous watersheds. However, the interaction between the groundwater and the surface water within these mountain systems is poorly understood."
02009-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"inlandWaters"
02009-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"EPSCoR Track 1 R3"
02009-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"Snow-dominated Mountain Watersheds"
02009-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"Groundwater Wells"
02009-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"Groundwater"
02009-metadata.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"ISO 19115 Topic Categories"
02009-metadata.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"John Wilson"
02009-metadata.xml,Metadata Contact,/metadata/metainfo/metc/cntinfo,"Earth Data Analysis Center Clearinghouse Manager mailing and physical address MSC01 1110 1 University of New Mexico Albuquerque NM 87131-0001 USA 505-277-3622 ext. 230 505-277-3614 clearinghouse@edac.unm.edu 0800 - 1700 MT, M-F -7 hours GMT"
02009-metadata.xml,Resource Contact,/metadata/idinfo/ptcontac,"Department of Earth and Environmental Science, New Mexico Tech John Wilson mailing and physical address 801 Leroy Place Socorro NM 87801 USA 575-835-5634 jwilson@nmt.edu"
02009-metadata.xml,Organization Name,/metadata/idinfo/citation/citeinfo/origin,"John Wilson"
02009-metadata.xml,Phone,/metadata/distinfo/distrib/cntinfo/cntvoice,"505-277-3622 ext. 230"
02009-metadata.xml,Phone,/metadata/metainfo/metc/cntinfo/cntvoice,"505-277-3622 ext. 230"
