Record,Concept,XPath,Content
02784-metadata.xml,Resource Title,/metadata/idinfo/citation/citeinfo/title,"World River Sediment Yields Database"
02784-metadata.xml,Abstract,/metadata/idinfo/descript/abstract,"This database contains data on annual sediment yields in worldwide rivers and reservoirs, searchable by river, country and continent. The database contains data for 869 rivers/reservoirs. The database was compiled from different sources by H. R. Wallingford, UK, on behalf of the FAO Land and Water Development Division. The database can be downloaded (Excel format - 1.8 MB) or searched online by the name of the river, the country, or the continent for which the user would like to see summary sedimentation data. From this data, you can discover explanations of the data and complete sedimentation records."
02784-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"RIVERS/STREAM HABITAT|ANALYSIS|FIELD INVESTIGATION"
02784-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"RIVERS/STREAMS|ANALYSIS|FIELD INVESTIGATION"
02784-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"SUSPENDED SOLIDS|ANALYSIS|FIELD INVESTIGATION"
02784-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"SEDIMENT TRANSPORT|ANALYSIS|FIELD INVESTIGATION"
02784-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"SEDIMENTATION|ANALYSIS|FIELD INVESTIGATION"
02784-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"SEDIMENTS|ANALYSIS|FIELD INVESTIGATION"
02784-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"SUSPENDED SOLIDS|ANALYSIS|FIELD INVESTIGATION"
02784-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"RIVERS/STREAM HABITAT"
02784-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"FIELD INVESTIGATION"
02784-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"ANALYSIS"
02784-metadata.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"Parameter_Sensor_Source"
02784-metadata.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"Parameter"
02784-metadata.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"Source"
02784-metadata.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"Sensor"
02784-metadata.xml,Metadata Contact,/metadata/metainfo/metc/cntinfo,"Curtis, Carroll Curtis, Carroll +1-804-769-2495 cncurtis@crosslink.net"
02784-metadata.xml,Metadata Contact,/metadata/metainfo/metc/cntinfo/cntorgp/cntper,"Curtis, Carroll"
02784-metadata.xml,Metadata Contact,/metadata/metainfo/metc/cntinfo/cntperp/cntper,"Curtis, Carroll"
02784-metadata.xml,Resource Contact,/metadata/idinfo/ptcontac,"Wallingford, H. R. 6.1.10.8 Contact Electronic Mail: INTERNET &gt; land-and-water@fao.org"
02784-metadata.xml,Resource Contact,/metadata/idinfo/ptcontac/cntinfo/cntperp/cntper,"Wallingford, H. R."
02784-metadata.xml,Resource Contact,/metadata/mercury/Contact_Person/Name,"Faures, Jean-Marc"
02784-metadata.xml,Organization Name,/metadata/idinfo/citation/citeinfo/origin,"Wallingford, H. R."
02784-metadata.xml,Organization Name,/metadata/distinfo/distrib/cntinfo/cntperp/cntorg,"United Nations Food and Agriculture Organization, Land and Water Development Division, Water Resources, Development and Management Services, Viale delle Terme di Caracalla, Rome, Italy"
02784-metadata.xml,Email,/metadata/distinfo/distrib/cntinfo/cntemail,"jeanmarc.faures@fao.org"
02784-metadata.xml,Email,/metadata/metainfo/metc/cntinfo/cntemail,"cncurtis@crosslink.net"
02784-metadata.xml,Email,/metadata/mercury/Contact_Person/Email,"jeanmarc.faures@fao.org"
02784-metadata.xml,Phone,/metadata/distinfo/distrib/cntinfo/cntvoice,"+39-06-5705-4243 (Phone) +39-06-5705-3152 (Fax)"
